folder,image,image_path,pedestrian_pixels,risk_level
DAVID-sim/m1596437/Labels/Video_001,v001_0142.png,DAVID-sim/m1596437/Labels/Video_001/v001_0142.png,150,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0309.png,DAVID-sim/m1596437/Labels/Video_001/v001_0309.png,81,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0063.png,DAVID-sim/m1596437/Labels/Video_001/v001_0063.png,1012,Medium
DAVID-sim/m1596437/Labels/Video_001,v001_0177.png,DAVID-sim/m1596437/Labels/Video_001/v001_0177.png,243,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0200.png,DAVID-sim/m1596437/Labels/Video_001/v001_0200.png,368,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0163.png,DAVID-sim/m1596437/Labels/Video_001/v001_0163.png,176,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0160.png,DAVID-sim/m1596437/Labels/Video_001/v001_0160.png,155,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0209.png,DAVID-sim/m1596437/Labels/Video_001/v001_0209.png,416,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0026.png,DAVID-sim/m1596437/Labels/Video_001/v001_0026.png,373,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0194.png,DAVID-sim/m1596437/Labels/Video_001/v001_0194.png,395,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0013.png,DAVID-sim/m1596437/Labels/Video_001/v001_0013.png,187,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0258.png,DAVID-sim/m1596437/Labels/Video_001/v001_0258.png,1287,Medium
DAVID-sim/m1596437/Labels/Video_001,v001_0182.png,DAVID-sim/m1596437/Labels/Video_001/v001_0182.png,299,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0072.png,DAVID-sim/m1596437/Labels/Video_001/v001_0072.png,2824,Medium
DAVID-sim/m1596437/Labels/Video_001,v001_0211.png,DAVID-sim/m1596437/Labels/Video_001/v001_0211.png,396,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0008.png,DAVID-sim/m1596437/Labels/Video_001/v001_0008.png,524,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0084.png,DAVID-sim/m1596437/Labels/Video_001/v001_0084.png,746,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0033.png,DAVID-sim/m1596437/Labels/Video_001/v001_0033.png,334,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0057.png,DAVID-sim/m1596437/Labels/Video_001/v001_0057.png,645,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0271.png,DAVID-sim/m1596437/Labels/Video_001/v001_0271.png,2587,Medium
DAVID-sim/m1596437/Labels/Video_001,v001_0327.png,DAVID-sim/m1596437/Labels/Video_001/v001_0327.png,3401,Medium
DAVID-sim/m1596437/Labels/Video_001,v001_0310.png,DAVID-sim/m1596437/Labels/Video_001/v001_0310.png,91,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0222.png,DAVID-sim/m1596437/Labels/Video_001/v001_0222.png,346,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0129.png,DAVID-sim/m1596437/Labels/Video_001/v001_0129.png,116,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0313.png,DAVID-sim/m1596437/Labels/Video_001/v001_0313.png,98,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0045.png,DAVID-sim/m1596437/Labels/Video_001/v001_0045.png,350,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0228.png,DAVID-sim/m1596437/Labels/Video_001/v001_0228.png,433,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0238.png,DAVID-sim/m1596437/Labels/Video_001/v001_0238.png,613,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0223.png,DAVID-sim/m1596437/Labels/Video_001/v001_0223.png,362,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0276.png,DAVID-sim/m1596437/Labels/Video_001/v001_0276.png,3068,Medium
DAVID-sim/m1596437/Labels/Video_001,v001_0185.png,DAVID-sim/m1596437/Labels/Video_001/v001_0185.png,320,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0297.png,DAVID-sim/m1596437/Labels/Video_001/v001_0297.png,1396,Medium
DAVID-sim/m1596437/Labels/Video_001,v001_0239.png,DAVID-sim/m1596437/Labels/Video_001/v001_0239.png,586,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0273.png,DAVID-sim/m1596437/Labels/Video_001/v001_0273.png,2467,Medium
DAVID-sim/m1596437/Labels/Video_001,v001_0255.png,DAVID-sim/m1596437/Labels/Video_001/v001_0255.png,1111,Medium
DAVID-sim/m1596437/Labels/Video_001,v001_0134.png,DAVID-sim/m1596437/Labels/Video_001/v001_0134.png,130,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0294.png,DAVID-sim/m1596437/Labels/Video_001/v001_0294.png,2710,Medium
DAVID-sim/m1596437/Labels/Video_001,v001_0095.png,DAVID-sim/m1596437/Labels/Video_001/v001_0095.png,24,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0112.png,DAVID-sim/m1596437/Labels/Video_001/v001_0112.png,64,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0023.png,DAVID-sim/m1596437/Labels/Video_001/v001_0023.png,347,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0143.png,DAVID-sim/m1596437/Labels/Video_001/v001_0143.png,154,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0007.png,DAVID-sim/m1596437/Labels/Video_001/v001_0007.png,570,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0186.png,DAVID-sim/m1596437/Labels/Video_001/v001_0186.png,367,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0284.png,DAVID-sim/m1596437/Labels/Video_001/v001_0284.png,3281,Medium
DAVID-sim/m1596437/Labels/Video_001,v001_0225.png,DAVID-sim/m1596437/Labels/Video_001/v001_0225.png,406,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0053.png,DAVID-sim/m1596437/Labels/Video_001/v001_0053.png,540,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0154.png,DAVID-sim/m1596437/Labels/Video_001/v001_0154.png,173,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0192.png,DAVID-sim/m1596437/Labels/Video_001/v001_0192.png,371,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0229.png,DAVID-sim/m1596437/Labels/Video_001/v001_0229.png,439,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0296.png,DAVID-sim/m1596437/Labels/Video_001/v001_0296.png,1323,Medium
DAVID-sim/m1596437/Labels/Video_001,v001_0062.png,DAVID-sim/m1596437/Labels/Video_001/v001_0062.png,894,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0205.png,DAVID-sim/m1596437/Labels/Video_001/v001_0205.png,364,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0184.png,DAVID-sim/m1596437/Labels/Video_001/v001_0184.png,307,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0146.png,DAVID-sim/m1596437/Labels/Video_001/v001_0146.png,145,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0073.png,DAVID-sim/m1596437/Labels/Video_001/v001_0073.png,3368,Medium
DAVID-sim/m1596437/Labels/Video_001,v001_0250.png,DAVID-sim/m1596437/Labels/Video_001/v001_0250.png,992,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0190.png,DAVID-sim/m1596437/Labels/Video_001/v001_0190.png,395,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0304.png,DAVID-sim/m1596437/Labels/Video_001/v001_0304.png,2166,Medium
DAVID-sim/m1596437/Labels/Video_001,v001_0245.png,DAVID-sim/m1596437/Labels/Video_001/v001_0245.png,594,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0065.png,DAVID-sim/m1596437/Labels/Video_001/v001_0065.png,1170,Medium
DAVID-sim/m1596437/Labels/Video_001,v001_0025.png,DAVID-sim/m1596437/Labels/Video_001/v001_0025.png,363,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0047.png,DAVID-sim/m1596437/Labels/Video_001/v001_0047.png,435,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0140.png,DAVID-sim/m1596437/Labels/Video_001/v001_0140.png,144,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0334.png,DAVID-sim/m1596437/Labels/Video_001/v001_0334.png,2704,Medium
DAVID-sim/m1596437/Labels/Video_001,v001_0214.png,DAVID-sim/m1596437/Labels/Video_001/v001_0214.png,325,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0082.png,DAVID-sim/m1596437/Labels/Video_001/v001_0082.png,514,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0181.png,DAVID-sim/m1596437/Labels/Video_001/v001_0181.png,296,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0043.png,DAVID-sim/m1596437/Labels/Video_001/v001_0043.png,306,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0093.png,DAVID-sim/m1596437/Labels/Video_001/v001_0093.png,25,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0050.png,DAVID-sim/m1596437/Labels/Video_001/v001_0050.png,474,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0081.png,DAVID-sim/m1596437/Labels/Video_001/v001_0081.png,502,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0173.png,DAVID-sim/m1596437/Labels/Video_001/v001_0173.png,220,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0340.png,DAVID-sim/m1596437/Labels/Video_001/v001_0340.png,3464,Medium
DAVID-sim/m1596437/Labels/Video_001,v001_0303.png,DAVID-sim/m1596437/Labels/Video_001/v001_0303.png,2405,Medium
DAVID-sim/m1596437/Labels/Video_001,v001_0315.png,DAVID-sim/m1596437/Labels/Video_001/v001_0315.png,98,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0076.png,DAVID-sim/m1596437/Labels/Video_001/v001_0076.png,415,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0329.png,DAVID-sim/m1596437/Labels/Video_001/v001_0329.png,3752,Medium
DAVID-sim/m1596437/Labels/Video_001,v001_0102.png,DAVID-sim/m1596437/Labels/Video_001/v001_0102.png,31,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0113.png,DAVID-sim/m1596437/Labels/Video_001/v001_0113.png,63,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0099.png,DAVID-sim/m1596437/Labels/Video_001/v001_0099.png,32,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0091.png,DAVID-sim/m1596437/Labels/Video_001/v001_0091.png,20,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0263.png,DAVID-sim/m1596437/Labels/Video_001/v001_0263.png,1614,Medium
DAVID-sim/m1596437/Labels/Video_001,v001_0236.png,DAVID-sim/m1596437/Labels/Video_001/v001_0236.png,565,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0232.png,DAVID-sim/m1596437/Labels/Video_001/v001_0232.png,478,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0133.png,DAVID-sim/m1596437/Labels/Video_001/v001_0133.png,133,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0046.png,DAVID-sim/m1596437/Labels/Video_001/v001_0046.png,374,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0055.png,DAVID-sim/m1596437/Labels/Video_001/v001_0055.png,550,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0287.png,DAVID-sim/m1596437/Labels/Video_001/v001_0287.png,3697,Medium
DAVID-sim/m1596437/Labels/Video_001,v001_0155.png,DAVID-sim/m1596437/Labels/Video_001/v001_0155.png,168,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0151.png,DAVID-sim/m1596437/Labels/Video_001/v001_0151.png,164,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0100.png,DAVID-sim/m1596437/Labels/Video_001/v001_0100.png,27,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0150.png,DAVID-sim/m1596437/Labels/Video_001/v001_0150.png,159,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0021.png,DAVID-sim/m1596437/Labels/Video_001/v001_0021.png,309,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0074.png,DAVID-sim/m1596437/Labels/Video_001/v001_0074.png,1586,Medium
DAVID-sim/m1596437/Labels/Video_001,v001_0321.png,DAVID-sim/m1596437/Labels/Video_001/v001_0321.png,117,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0265.png,DAVID-sim/m1596437/Labels/Video_001/v001_0265.png,1752,Medium
DAVID-sim/m1596437/Labels/Video_001,v001_0197.png,DAVID-sim/m1596437/Labels/Video_001/v001_0197.png,408,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0325.png,DAVID-sim/m1596437/Labels/Video_001/v001_0325.png,1846,Medium
DAVID-sim/m1596437/Labels/Video_001,v001_0092.png,DAVID-sim/m1596437/Labels/Video_001/v001_0092.png,20,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0260.png,DAVID-sim/m1596437/Labels/Video_001/v001_0260.png,1554,Medium
DAVID-sim/m1596437/Labels/Video_001,v001_0149.png,DAVID-sim/m1596437/Labels/Video_001/v001_0149.png,160,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0241.png,DAVID-sim/m1596437/Labels/Video_001/v001_0241.png,557,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0230.png,DAVID-sim/m1596437/Labels/Video_001/v001_0230.png,456,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0086.png,DAVID-sim/m1596437/Labels/Video_001/v001_0086.png,1110,Medium
DAVID-sim/m1596437/Labels/Video_001,v001_0305.png,DAVID-sim/m1596437/Labels/Video_001/v001_0305.png,1091,Medium
DAVID-sim/m1596437/Labels/Video_001,v001_0286.png,DAVID-sim/m1596437/Labels/Video_001/v001_0286.png,3081,Medium
DAVID-sim/m1596437/Labels/Video_001,v001_0077.png,DAVID-sim/m1596437/Labels/Video_001/v001_0077.png,293,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0127.png,DAVID-sim/m1596437/Labels/Video_001/v001_0127.png,111,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0120.png,DAVID-sim/m1596437/Labels/Video_001/v001_0120.png,76,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0171.png,DAVID-sim/m1596437/Labels/Video_001/v001_0171.png,215,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0268.png,DAVID-sim/m1596437/Labels/Video_001/v001_0268.png,2308,Medium
DAVID-sim/m1596437/Labels/Video_001,v001_0083.png,DAVID-sim/m1596437/Labels/Video_001/v001_0083.png,633,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0088.png,DAVID-sim/m1596437/Labels/Video_001/v001_0088.png,1722,Medium
DAVID-sim/m1596437/Labels/Video_001,v001_0216.png,DAVID-sim/m1596437/Labels/Video_001/v001_0216.png,291,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0224.png,DAVID-sim/m1596437/Labels/Video_001/v001_0224.png,376,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0080.png,DAVID-sim/m1596437/Labels/Video_001/v001_0080.png,425,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0220.png,DAVID-sim/m1596437/Labels/Video_001/v001_0220.png,314,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0006.png,DAVID-sim/m1596437/Labels/Video_001/v001_0006.png,629,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0278.png,DAVID-sim/m1596437/Labels/Video_001/v001_0278.png,3239,Medium
DAVID-sim/m1596437/Labels/Video_001,v001_0020.png,DAVID-sim/m1596437/Labels/Video_001/v001_0020.png,262,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0157.png,DAVID-sim/m1596437/Labels/Video_001/v001_0157.png,159,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0180.png,DAVID-sim/m1596437/Labels/Video_001/v001_0180.png,307,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0034.png,DAVID-sim/m1596437/Labels/Video_001/v001_0034.png,329,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0164.png,DAVID-sim/m1596437/Labels/Video_001/v001_0164.png,171,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0126.png,DAVID-sim/m1596437/Labels/Video_001/v001_0126.png,106,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0311.png,DAVID-sim/m1596437/Labels/Video_001/v001_0311.png,84,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0195.png,DAVID-sim/m1596437/Labels/Video_001/v001_0195.png,408,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0087.png,DAVID-sim/m1596437/Labels/Video_001/v001_0087.png,1358,Medium
DAVID-sim/m1596437/Labels/Video_001,v001_0105.png,DAVID-sim/m1596437/Labels/Video_001/v001_0105.png,42,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0234.png,DAVID-sim/m1596437/Labels/Video_001/v001_0234.png,502,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0107.png,DAVID-sim/m1596437/Labels/Video_001/v001_0107.png,47,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0335.png,DAVID-sim/m1596437/Labels/Video_001/v001_0335.png,2826,Medium
DAVID-sim/m1596437/Labels/Video_001,v001_0101.png,DAVID-sim/m1596437/Labels/Video_001/v001_0101.png,29,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0166.png,DAVID-sim/m1596437/Labels/Video_001/v001_0166.png,159,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0130.png,DAVID-sim/m1596437/Labels/Video_001/v001_0130.png,111,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0139.png,DAVID-sim/m1596437/Labels/Video_001/v001_0139.png,149,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0090.png,DAVID-sim/m1596437/Labels/Video_001/v001_0090.png,735,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0326.png,DAVID-sim/m1596437/Labels/Video_001/v001_0326.png,2340,Medium
DAVID-sim/m1596437/Labels/Video_001,v001_0123.png,DAVID-sim/m1596437/Labels/Video_001/v001_0123.png,83,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0259.png,DAVID-sim/m1596437/Labels/Video_001/v001_0259.png,1410,Medium
DAVID-sim/m1596437/Labels/Video_001,v001_0067.png,DAVID-sim/m1596437/Labels/Video_001/v001_0067.png,1533,Medium
DAVID-sim/m1596437/Labels/Video_001,v001_0137.png,DAVID-sim/m1596437/Labels/Video_001/v001_0137.png,119,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0032.png,DAVID-sim/m1596437/Labels/Video_001/v001_0032.png,322,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0319.png,DAVID-sim/m1596437/Labels/Video_001/v001_0319.png,124,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0153.png,DAVID-sim/m1596437/Labels/Video_001/v001_0153.png,182,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0292.png,DAVID-sim/m1596437/Labels/Video_001/v001_0292.png,5807,High
DAVID-sim/m1596437/Labels/Video_001,v001_0218.png,DAVID-sim/m1596437/Labels/Video_001/v001_0218.png,327,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0096.png,DAVID-sim/m1596437/Labels/Video_001/v001_0096.png,17,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0124.png,DAVID-sim/m1596437/Labels/Video_001/v001_0124.png,85,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0054.png,DAVID-sim/m1596437/Labels/Video_001/v001_0054.png,559,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0330.png,DAVID-sim/m1596437/Labels/Video_001/v001_0330.png,3256,Medium
DAVID-sim/m1596437/Labels/Video_001,v001_0058.png,DAVID-sim/m1596437/Labels/Video_001/v001_0058.png,659,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0253.png,DAVID-sim/m1596437/Labels/Video_001/v001_0253.png,1083,Medium
DAVID-sim/m1596437/Labels/Video_001,v001_0227.png,DAVID-sim/m1596437/Labels/Video_001/v001_0227.png,402,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0336.png,DAVID-sim/m1596437/Labels/Video_001/v001_0336.png,2977,Medium
DAVID-sim/m1596437/Labels/Video_001,v001_0204.png,DAVID-sim/m1596437/Labels/Video_001/v001_0204.png,347,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0254.png,DAVID-sim/m1596437/Labels/Video_001/v001_0254.png,1075,Medium
DAVID-sim/m1596437/Labels/Video_001,v001_0293.png,DAVID-sim/m1596437/Labels/Video_001/v001_0293.png,4763,Medium
DAVID-sim/m1596437/Labels/Video_001,v001_0098.png,DAVID-sim/m1596437/Labels/Video_001/v001_0098.png,30,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0217.png,DAVID-sim/m1596437/Labels/Video_001/v001_0217.png,291,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0339.png,DAVID-sim/m1596437/Labels/Video_001/v001_0339.png,3504,Medium
DAVID-sim/m1596437/Labels/Video_001,v001_0242.png,DAVID-sim/m1596437/Labels/Video_001/v001_0242.png,532,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0322.png,DAVID-sim/m1596437/Labels/Video_001/v001_0322.png,249,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0308.png,DAVID-sim/m1596437/Labels/Video_001/v001_0308.png,83,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0256.png,DAVID-sim/m1596437/Labels/Video_001/v001_0256.png,1159,Medium
DAVID-sim/m1596437/Labels/Video_001,v001_0097.png,DAVID-sim/m1596437/Labels/Video_001/v001_0097.png,26,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0231.png,DAVID-sim/m1596437/Labels/Video_001/v001_0231.png,452,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0277.png,DAVID-sim/m1596437/Labels/Video_001/v001_0277.png,3273,Medium
DAVID-sim/m1596437/Labels/Video_001,v001_0167.png,DAVID-sim/m1596437/Labels/Video_001/v001_0167.png,166,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0196.png,DAVID-sim/m1596437/Labels/Video_001/v001_0196.png,392,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0016.png,DAVID-sim/m1596437/Labels/Video_001/v001_0016.png,225,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0318.png,DAVID-sim/m1596437/Labels/Video_001/v001_0318.png,105,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0114.png,DAVID-sim/m1596437/Labels/Video_001/v001_0114.png,60,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0145.png,DAVID-sim/m1596437/Labels/Video_001/v001_0145.png,144,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0039.png,DAVID-sim/m1596437/Labels/Video_001/v001_0039.png,328,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0138.png,DAVID-sim/m1596437/Labels/Video_001/v001_0138.png,138,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0147.png,DAVID-sim/m1596437/Labels/Video_001/v001_0147.png,152,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0328.png,DAVID-sim/m1596437/Labels/Video_001/v001_0328.png,4058,Medium
DAVID-sim/m1596437/Labels/Video_001,v001_0152.png,DAVID-sim/m1596437/Labels/Video_001/v001_0152.png,164,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0108.png,DAVID-sim/m1596437/Labels/Video_001/v001_0108.png,53,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0249.png,DAVID-sim/m1596437/Labels/Video_001/v001_0249.png,872,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0301.png,DAVID-sim/m1596437/Labels/Video_001/v001_0301.png,2240,Medium
DAVID-sim/m1596437/Labels/Video_001,v001_0183.png,DAVID-sim/m1596437/Labels/Video_001/v001_0183.png,300,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0085.png,DAVID-sim/m1596437/Labels/Video_001/v001_0085.png,899,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0193.png,DAVID-sim/m1596437/Labels/Video_001/v001_0193.png,384,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0203.png,DAVID-sim/m1596437/Labels/Video_001/v001_0203.png,346,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0306.png,DAVID-sim/m1596437/Labels/Video_001/v001_0306.png,319,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0295.png,DAVID-sim/m1596437/Labels/Video_001/v001_0295.png,1695,Medium
DAVID-sim/m1596437/Labels/Video_001,v001_0069.png,DAVID-sim/m1596437/Labels/Video_001/v001_0069.png,1674,Medium
DAVID-sim/m1596437/Labels/Video_001,v001_0136.png,DAVID-sim/m1596437/Labels/Video_001/v001_0136.png,134,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0298.png,DAVID-sim/m1596437/Labels/Video_001/v001_0298.png,1709,Medium
DAVID-sim/m1596437/Labels/Video_001,v001_0070.png,DAVID-sim/m1596437/Labels/Video_001/v001_0070.png,2033,Medium
DAVID-sim/m1596437/Labels/Video_001,v001_0233.png,DAVID-sim/m1596437/Labels/Video_001/v001_0233.png,491,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0028.png,DAVID-sim/m1596437/Labels/Video_001/v001_0028.png,229,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0338.png,DAVID-sim/m1596437/Labels/Video_001/v001_0338.png,3344,Medium
DAVID-sim/m1596437/Labels/Video_001,v001_0010.png,DAVID-sim/m1596437/Labels/Video_001/v001_0010.png,862,Low
